,Sentence,metaphore,target_domain,source_domain,highlighted_aspect,PartOf,Causes,IsA,DefinedAs
788,"Meantime, a survivor of the Virginia Tech mass-shooting and a relative of a student killed in the 2007 tragedy circulated an e-mail urging Democrats to oppose Deeds because he resists gun control.",resists,Control of Guns,Struggle,Enemy,"[' none', ' PersonY reads the e-mail.', ' PersonY reads the e-mail']","[' PersonX is not a member of any political party.', ' PersonX is not a member of the Democratic Party.', ' PersonX is not a member of the Democratic party.']","[' PersonX is not a member of any political party.', ' PersonX is not a member of the Democratic Party.', ' PersonX is not a member of the Democratic party.']","[' PersonX gets fired from their job.', ' PersonX gets fired from his job.', ' none']"
789,"And because the deductions are made before tax, employees get the tax relief straight away.",relief,Taxation,Physical Burden,Protection,"[' pay less taxes', ' get a bonus', ' get a raise']","[' they are able to pay their bills on time', ' they are able to pay their bills', ' they are able to pay their bills on time.']","[' pay less taxes', ' get a raise', ' get a bonus']","[' pay less taxes', ' get a raise', ' get a bonus']"
790,Why do we accept that guns kill and join in this futile debate of defending guns like some kind of power that acts on its own.,defending,Guns,Protection/Struggle,Side,"[' gun violence', ' none', ' gun control']","[' violent', ' angry', ' dangerous']","[' angry', ' gun-loving people', ' gun-loving']","[' gun violence', ' none', ' gun control']"
791,"Where the corporation tax is a direct frontal attack on the institution of private property, the ESOP offers a powerful means for counterattacking in a manner that will simultaneously serve other desirable social goals: it can help overcome shortages in private sector capital formation; it fosters more equity financing; it can help foster more private sector jobs in the fabricating and operations of newly added plant and equipment; it can help expand the federal revenue base from expanded private payrolls and dividend rolls; and it can help create a broader base of shareholder constituents to help corporations surmount unreasonable and unwarranted political attacks.",attack,Taxation,Struggle/War,Threat,"[' none', ' make money', ' make a profit']","[' to help the economy grow', ' get a raise', ' get a tax cut']","[' to help the economy grow', ' get a raise', ' get a tax cut']","[' none', ' tax breaks', ' to help people']"
792,I oppose federal gun registration.,oppose,Control of Guns,Struggle,Side,"[' none', ' I am not allowed to own a gun.', ' I am not allowed to own a gun']","["" I don't have a gun."", "" I don't want to get in trouble."", "" I don't want to be a criminal.""]","["" I don't have a gun."", "" I don't have a gun"", "" I don't want to get in trouble""]","[' I am a pacifist.', ' I am a gun owner.', ' I am a pacifist']"
793,"alone, regardless of viewership, is enough to create this deliberate democracy?Is Baym too optimistic in making a claim about the role that these programs serve to facilitate democratic discourse?",create,Democracy,Building,Built,"[' none', ' watch the program', ' watch the show']","[' watchful', ' watchable', ' none']","[' none', ' watch the program', ' watch the show']","[' none', ' watch the program', ' watch the show']"
794,I'm tempted to say gun control is an ideologically based religion with many duped believers.,religion,Control of Guns,A God,Worshipper,"[' none', ' gun control', ' gun control laws']","[' religious', ' angry', ' scared']","[' gun control', ' gun control is not a religion', ' gun control is not a religion.']","[' none', ' gun control', ' gun control laws']"
795,Gun bans kill kids,kill,Control of Guns,Physical Harm,Threat,"[' gun violence', ' children die', ' children are killed']","[' gun violence', ' gun violence kills children', ' gun violence kills children.']","[' gun violence', ' murder children', ' gun control']","[' gun violence', ' children to die', ' children to be safe']"
796,The posthumous Lion-prince of Monarchial dominance is infecting the houses of the restless with every scratch from its filthy claws of Democracy.,claws of,Democracy,Animal,Wild Animal,"[' none', ' the house of the restless', ' the people to be free']","[' powerful', ' evil', ' angry']","[' the people to be free', ' the power of the people', ' powerful']","[' The posthumous Lion-prince of Monarchial dominance is infecting the houses of', ' The posthumous Lion-prince of Monarchial dominance is infecting the house of', ' The posthumous Lion-prince of Monarchial dominance is infecting the houses with']"
797,"If the nation of Pakistan can buy democracy, rule of law (going forward), civilian supremacy, justice etc. for 1.5 billion dollars from Mr. Zardari, I say where do we sign up?",buy,Democracy,Resource,Product,"[' none', ' buy a house', ' get a new job']","[' buy a house', ' buy a new house', ' buy democracy']","[' buy a house', ' buy a new house', ' none']","[' buy a house', ' get a new job', ' none']"
798,"I'd like to repeat the last paragraph from your post above -- You accurately describe, once again, the pro-gun team's tactics against other posters on HuffPost and any honest discourse.",team,Gun Rights,Game,Side,"[' none', ' get fired', ' to be honest']","[' honest', ' defensive', ' angry']","[' I agree with what you say.', ' I agree with what you said.', ' I agree with what you wrote.']","[' I think I know what I am talking about.', "" I think I know what I'm talking about."", "" I think I know what I'm talking about""]"
799,"Never mind that democracy is another name for mob rule, a tyranny of the majority, but this shallow ideology worships elections at the expense of reason and consequences.",worships,Elections,A God,God,"[' none', ' get elected', ' get a job']","[' powerful', ' immoral', ' controlling']","[' none', ' never mind', ' never mind.']","[' none', ' never mind the consequences', ' never mind the consequences.']"
800,"We've been lulled into complacency by the notion that affluence breeds democracy, and democracy heals all rifts.",heals,Democracy,Medicine,Protection,"[' none', ' we have a better society', ' we have a better life']","[' we are too complacent', ' happy', ' wealthy']","[' we are too complacent', ' we are too happy with our lives', ' we are too happy with our life']","[' we have a democracy', ' we have a better life', ' we have a better society']"
801,It was also bestowed on the libraries; then our divine city council pawned them off.,divine,Government,A God,God,"[' none', ' it was given to the city council', ' it was given to them by God']","[' it was a gift from God', ' it was a gift from god', ' it was a gift from God.']","[' it was a gift from God', ' it was a gift from god', ' it was a gift from God.']","[' it was given to the library', ' it was given to the city council', ' it was given to them by God']"
802,"If we want to get rid of the failures of Stalinism associated with the left, we need to be at the forefront of the struggle for democracy and realize that ""that the first step in the revolution by the working class is to raise the proletariat to the position of ruling class to win the battle of democracy",battle,Democracy,Struggle/War,Conflict,"[' to win the battle of democracy', ' to win the battle of democracy.', ' to win the battle']","[' get a new job', ' get a job', ' none']","[' to win the battle of democracy', ' to win the battle of democracy.', ' to win the battle']","[' to win the battle of democracy', ' get rid of the failures of Stalinism', ' get rid of the failures of the left']"
803,How does additional taxes alleviate those issues??? PatentLaw,alleviate,Taxation,Medicine,Protection,"[' none', ' make money', ' get a raise']","[' how to pay for it', ' how to pay taxes', ' how to pay for the taxes']","[' how to pay for it', ' how to pay for things', ' how to pay for the taxes']","[' how to pay for it', ' how to pay taxes', ' how to pay for things']"
804,"Using such decidedly “business-model” jargon, we feel, detracts from our noble and altruistic mission to educate, empower and develop informed citizens who will carry the mantle of American democracy for future generations.",mantle,Democracy,Clothing,Body,"[' none', ' use the word', ' use the term']","[' helpful', ' successful', ' good']","[' none', ' use of language', ' using business model']","[' none', ' use the word', ' use of language']"
805,"The unqualified arrogance of last week's letter from Michael Crowley was astounding (""Democracy Defeats Terrorism,"" issue of Dec. 1-7).",Defeats,Democracy,Struggle,Winner,"[' the letter to the editor', ' none', ' the letter to be read']","[' arrogant', ' brave', ' powerful']","[' powerful', ' proud', ' proud of his country']","[' the letter to the editor', ' the letter to be read', ' the letter to be read by others']"
806,The news came after the Bank of England cut interest rates to a record low of 1.5 percent on Thursday as it and the government battle to prevent Britain falling further into a recession that has cost thousands of jobs.,battle,Government,War,Side,"[' none', ' the economy to grow', ' the economy to recover']","[' the economy to grow', ' the economy to recover', ' the economy to be better']","[' the economy to be better', ' the economy to grow', ' the economy to recover']","[' the economy to grow', ' get a loan', ' the economy to be better']"
807,Protect Children Not Guns,Protect,Guns,Protection,Threatened,"[' protect children', ' protect children from harm', ' protect children from danger']","[' protect children', ' protecting children', ' Protecting Children']","[' protect children', ' protect children from harm', ' protect children from violence']","[' protect children', ' protect children from harm', ' protect children from violence']"
808,"When we believe He redeemed us from the curse of poverty and wrap all of our words and actions around that belief, then we strengthen the faith barrier against the attack of poverty.",attack,Poverty,Struggle/War,Side,"[' pray to God', ' none', ' get a job']","[' hopeful', ' religious', ' faith']","[' faith in God', ' hope for the best', ' hope for the future']","[' none', ' faith in God', ' faith in god']"
809,"And too many people are focused on the evil guns....decades down the road nobody will remember the name of the guy who walked into Sandy Hook that day, just that he had guns.",evil,Guns,Monster,Threat,"[' none', ' get arrested', ' get killed']","[' none', ' angry', ' sad']","[' none', ' people are too busy to think about it.', ' people are too busy to think about it']","[' none', ' people forget the name of the person who walked into the school.', ' people forget the name of the person who walked into the school']"
810,"the anti gun scum bags try to incrementally destroy gun rights-hoping that when its time to finally ban guns, there won't be real resistance.",destroy,Gun Rights,Natural Physical Force/Physical Harm,Threatened,"[' none', ' the gun rights are being destroyed', ' the gun rights are being violated']","[' gun control', ' the gun rights are being destroyed', ' the gun control movement is successful']","[' gun control', ' none', ' gun control laws']","[' the anti gun scum bags try to destroy the rights of the people', ' the anti gun scum bags try to destroy the rights of the people.', ' the anti gun scum bags try to destroy gun rights']"
811,"For those of us trying to oppose the U.S. empire, our primary task is organizing people in the United States to resist these imperial policies.",resist,Bureaucracy,Struggle,Enemy,"[' for people to be free', ' for the people to be free', ' for people to be able to resist']","[' powerful', ' strong', ' determined']","[' for the world to be free', ' for the people to be free', ' for people to be free']","[' for people to be able to resist', ' for people to be free', ' for the people to be free']"
812,It is environmental blackmail and is an immoral abuse of relative wealth and a serious form of exploitation.,abuse,Wealth,Physical Harm,Victim,"[' get rich', ' it is illegal', ' it is immoral']","[' get rich', ' it is immoral', ' it is illegal']","[' it is illegal', ' it is immoral', ' it is a crime']","[' get rich', ' it is illegal', ' it is immoral']"
813,It may well be a problem even so it cannot be cured by guns.,cured,Guns,Disease,Protection,"[' none', ' it is a problem', ' it is not a problem']","[' it is not a problem to be cured by guns', ' it is not a problem that can be cured by guns', ' it is not a problem that can be solved by guns']","[' it is not a problem to be cured by guns', ' it is not a problem that can be cured by guns', ' it is not a problem that can be solved by guns']","[' it is a problem', ' it is not a problem', ' it is not a good thing']"
814,Can you back up a bit and stay on the gun rights path please..?,path,Gun Rights,Journey,Goal,"["" can't afford to buy a gun"", ' none', "" can't afford to buy a new gun""]","["" can't afford to go back to the way they came"", "" can't afford to go back to what they were doing"", "" can't afford to go back to the way it was""]","["" can't afford to buy a gun"", "" can't afford to go to jail"", "" can't afford to buy a gun.""]","["" can't afford to buy a gun"", "" can't afford to buy a new gun"", "" can't afford to pay for it""]"
815,Firearm organisations provably have absolutely no idea of how to fight gun control and show no sign of figuring it out even if told.,fight,Control of Guns,Struggle,Threatened,"[' none', ' gun control', ' gun control laws']","[' ignorant', ' incompetent', ' stupid']","[' incompetent', ' ignorant', ' frustrated']","[' gun control', ' none', ' gun control laws']"
816,changing face of hunger,changing face,Poverty,Human Body,Body,"[' hunger pangs', ' none', ' hunger pains']","[' changing face of hunger', ' change in face of hunger', ' changing face of food']","[' hunger', ' hungry', ' hunger pains']","[' change of diet', ' hunger', ' hunger pains']"
817,So eventualy our gun rights will be demolished thanks to less lethal force?,demolished,Gun Rights,Building,Destruction Potential,"[' none', ' have less power', ' have less money']","[' so what', ' so what?', ' none']","[' so what if they are wrong', ' so what if they are wrong.', ' so what if they are wrong?']","[' none', ' have less power', ' so what']"
818,"Perhaps we can see why gun control is a win win answer to the social problems which can be exacerbated with more hand outs, more care, more aid, more relief and the creation of a nation of dependants.",win,Control of Guns,Competition/Game,Aid,"[' none', ' people to have a better life', ' people to have a better life.']","[' happy', ' relieved', ' good']","[' more people to be able to do their own thing.', ' more people to be able to do their own thing', ' none']","[' none', ' people to have a better life', ' people to have a better life.']"
819,"The throne speach will pass - Dion and the liberals are in no position to fight an election, so they'll continue to ignore Kyoto, turn turtle on Afganastan and allow REAL crime legislation.",fight,Elections,Struggle,Conflict,"[' none', ' the government to be in power', ' the government is in power']","[' the law to be passed', ' the law to be enforced', ' the law to be changed']","[' the government to be in power', ' the law to be passed', ' the law to be enforced']","[' the government to be in power', ' the government is in power', ' the government will be in power']"
820,"Geezus, I don't have a gun control bone in my body but this is way over the top",bone,Control of Guns,Human Body,Body Part,"[' none', ' get arrested', ' get shot']","[' angry', ' violent', ' scared']","[' PersonX shoots PersonX with a gun.', ' PersonX shoots PersonY with a gun.', ' PersonX shoots PersonX in the head.']","[' gun control', ' none', ' get arrested']"
821,"But see Harvey P. Dale, Foreign Charities, 48 TAX LAW. 655, 660â€“61 (1995) (arguing that none of the tax benefits conferred to charities was ever predicated on a theory of government burden relief).",relief,Bureaucracy/Government,Physical Burden,Protection,"[' none', ' have to pay taxes', ' have to pay more taxes']","[' none', ' they get a tax break', ' they get a tax deduction']","[' none', ' have to pay taxes', ' have to pay for it']","[' none', ' have to pay taxes', ' get a tax break']"
822,"But he is in a dogfight in a potential general election battle against Democrat Alison Lundergran Grimes, the Bluegrass state's secretary of state.",battle,Elections,War,Conflict,"[' win the election', ' win election', ' win the election.']","[' competitive', ' hopeful', ' defeated']","[' race for governor', ' candidate for governor', ' candidate wins election']","[' win the election', ' race for governor', ' win election']"
823,"The 2011 Civic Mission of Schools report, ""The Guardian of Democracy,"" raises major concern surrounding diminished civic learning in the United States and outlines six proven practices that can help restore the civic mission of schools.",Guardian,Democracy,Protection,Protection,"[' the government to do something about it', ' the government to do something about it.', ' the government to do something about the problem']","[' the report is a good source of information', ' the government to be responsible for the education of the people', ' the government to be responsible for the education of the children']","[' the school to be a good place to learn', ' the school to be a better place', ' the school to be a better place to learn']","[' the school to be a good place to learn', ' the school to be a better place to learn', ' the school to be a better place']"
824,"The origins, evolutions, and engines of wealth : government, global leadership, and technology -- 4.",engines,Wealth,Vehicle,Built,"[' the world to be a better place', ' the world is a better place', ' the world to be a better place.']","[' the world to be a better place', ' the world is a better place', ' the world to be a better place.']","[' the world to be a better place', ' the world is a better place', ' the world to be a better place.']","[' the world to be a better place', ' the world is a better place', ' the world to be a better place.']"
825,"You are now charged with a felony and if the charges stick in court, your gun rights evaporate.",evaporate,Gun Rights,Body of Water,Change Type,"[' get arrested', ' you get arrested', ' you are arrested']","[' you have to go to jail', ' you have to pay a fine', ' you have to go to jail.']","[' you have to go to jail', ' you have to pay a fine', ' you have to go to court']","[' you get arrested', ' you are arrested', ' get arrested']"
826,"Rather, Abe's Japan is a wealthy, mature, and greying democracy.",greying,Democracy,Life Stage,Entity,"[' none', ' have a stable economy', ' have a stable government']","[' rather than the other way around', ' rather than the other way around.', ' none']","[' none', ' rather than the other way around', ' rather than the other way around.']","[' none', ' have a stable economy', ' have a stable government']"
827,"Taxes don't reduce deficits, taxes and spending dance around zero to produce a revenue or a deficit.",reduce,Taxation,Downward Movement,Threat,"[' none', ' tax increases', ' tax increase']","[' tax increases', ' tax increase', ' tax cuts']","[' tax increase', ' tax increases', ' tax rates increase']","[' pay more taxes', ' tax increase', ' tax increases']"
828,"This bureaucracy experimented with three tax models: a land tax, customs tax, and finally an Excise tax -- a tax on the producers of the goods of everyday consumption.",experimented,Bureaucracy,Science,Experiment,"[' taxes on goods and services', ' taxes on goods and services.', ' taxes on goods']","[' tax collector', ' tax collectors', ' responsible']","[' taxes on goods and services', ' tax on goods and services', ' taxes on goods and services.']","[' taxes on goods and services', ' taxes on the production of goods', ' taxes on the production of the goods']"
829,We should not all be this eager to hang our gun rights hat on this story.,hat,Gun Rights,Clothing,Body,"[' none', ' we need to learn more about it', ' we need to learn more about the story']","[' we should not be this eager to hang our gun rights hat on this story', ' we should not be this eager to hang our gun rights hat on this story.', ' we should not be this eager to hang our gun rights hat on the story']","[' we need to learn from it', ' we need to learn from this', ' we need to be careful']","[' none', ' gun control', ' gun control group']"
830,"That led to Kaine proposals on property tax relief, on spending more money on education, and to respond to their complaints about growth and traffic.",relief,Taxation,Disease/Physical Burden,Threat,"[' they get a tax break', ' they get a tax cut', ' people to pay taxes']","[' responsible', ' helpful', ' concerned']","[' that they have a right to complain', ' that they have a right to complain about it', ' that they have a right to be there']","[' they get a tax cut', ' they get a tax break', ' they get a tax increase']"
831,Their only purpose is to confuse and tire apathetic and defeated voters into staying away from the polls so the six incumbents and the anointed incumbent for Greig Smith's seat can eke out re-election despite the Council's grotesque failures on every level and its total loss of credibility.,defeated,Elections,Competition/Game/War,Loser,"[' none', ' their opponents to lose', ' their opponents to be defeated']","[' none', ' their opponents to lose', ' their opponents to be defeated']","[' get re-elected', ' none', ' get reelected']","[' none', ' their opponents to lose', ' their opponents to win']"
832,"Men, women and children are dying for the lack of a government backbone.",backbone,Bureaucracy/Government,Animal,Component,"[' men and women and children die', ' men and women die', ' men and women and children are dying']","[' men, women and children', ' men, women and children are dying', ' men and women and children']","[' men, women and children', ' men and women and children', ' men and women']","[' men, women and children die', ' men, women and children are dying', ' men, women and children to die']"
833,"BigBut: Over time, the 10Percenters Wealth decreases as they pay off the Debt and thus their Net Worth increases.",decreases,Wealth,Downward Movement,Change,"[' they have less money to spend', ' they have more money to spend', ' they have less money']","[' wealthy', ' happy', ' rich']","[' they have less money to spend on other things', ' they have less money to spend', ' they have less money to spend on other things.']","[' PersonY buys a new house.', ' PersonY buys a new car.', ' PersonY buys a house.']"
834,"On December 27, 2007, millions of Kenyans went to the polls in Kenyas fourth multiparty elections with the hope of strengthening democracy and bringing change.",strengthening,Democracy,Building/Strength,Built,"[' have a better life', ' get a new job', ' have a new leader']","[' hopeful', ' voting', ' political parties']","[' vote', ' elections', ' people vote']","[' vote in the election', ' get a new job', ' vote in the elections']"
835,People like Rebecca Peters see this as a golden opportunity becasue they know that people who accept gun control are not going to fight gun control or be motivated to even object.,fight,Control of Guns,Struggle,Threatened,"[' none', ' people who accept gun control', ' people who accept gun control are not motivated to fight']","[' hopeful', ' happy', ' smart']","[' people who accept gun control', ' people who accept gun control are not going to fight gun control', ' people who accept gun control are not going to fight gun control.']","[' people who accept gun control are not going to fight gun control', ' people who accept gun control are not motivated to fight gun control', ' people who accept gun control are not going to fight gun control.']"
836,"November 12, 2008: Ecuador government advances Zamora Hydroelectric Complex",advances,Government,Forward Movement,Agent,"[' none', ' power is generated', ' power plants are built']","[' November 12, 2008', 'November 12, 2008', ' November 11, 2008']","[' November 12, 2008', ' November 11, 2008', ' November 10, 2008']","[' November 12, 2008', ' November 11, 2008', ' November 10, 2008']"
837,"Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.",depth,Poverty,Abyss,Scale,"[' none', ' eat less', ' eat less food']","[' poor', ' hungry', ' poverty']","[' food is scarce', ' poverty', ' food security']","[' none', ' food is scarce', ' eat less']"
838,"In contrast, many slaveowners in the early nineteenth century defended a strong national government as the best bulwark against both slave revolts and the ""leveling tendencies"" of non-slaveholders.",defended,Government,Struggle/War,Threatened,"[' none', ' slaveholders are not allowed to vote', ' slaveholders are not allowed in the country']","[' in power', ' in control', ' powerful']","[' in favor of the government', ' in power', ' in favor of government']","[' slaveholders were not allowed to vote in the election.', ' slaveholders were not allowed to vote in the election', ' slaveholders were not allowed to vote in the elections.']"
839,It's the rape of poverty.,rape,Poverty,Crime/Physical Harm,Victim,"[' none', ' get robbed', ' people are poor']","["" it's a crime to be poor"", "" it's not a crime to be poor"", "" it's a crime""]","["" it's a crime to be poor"", "" it's a crime against humanity"", "" it's not a crime to be poor""]","[' none', ' get robbed', ' get arrested']"
840,If that were true gun control would be decreasing and the number of gun control laws would be decreasing.,decreasing,Control of Guns,Downward Movement,Change,"[' none', ' gun control laws', ' have less money']","[' if gun control laws were effective', ' if gun control laws are not effective', ' if gun control laws are effective']","[' none', ' gun control laws', ' if gun control laws were effective']","[' none', ' gun control laws', ' gun violence']"
841,"So what is your problem and all this waffle, deflection and avoidance, gun control makes the specific claim gun control will reduce crime, the supply of guns to criminals and increase public safety.",reduce,Control of Guns,Downward Movement,Aid,"[' none', ' get out of the way', ' get rid of the problem']","[' none', ' so what is the problem', ' so what is your problem']","[' none', "" so you don't have to worry about it"", "" so you don't have to worry about it.""]","[' none', ' so what is the problem', ' so what is your problem']"
842,"And together, one vote at a time, a mighty river, a swelling ocean we call democracy floods across this nation as 120 million votes are cast for President.",floods,Democracy,Body of Water/Natural Physical Force,Body of Water,"[' none', ' get elected', ' vote for president']","[' voting', ' voting machine', ' vote']","[' none', ' vote', ' people vote']","[' none', ' vote for president', ' get elected']"
843,I believe that the NRA is losing the gun control battle.,battle,Control of Guns,War,Conflict,"[' none', ' get a gun', ' I have a gun']","[' I am not a gun owner.', "" I don't believe in the NRA."", ' I am not a gun owner']","[' I am a gun control advocate.', ' I am a gun owner.', ' I am a gun control advocate']","[' have less money in their bank account', ' have less money to spend on other things', ' have less money to spend on guns']"
844,"During his yearlong poverty quest, Ryan repeatedly stressed the inadequacy of federal programs, along with the need for better-off members of society to give their time to the poor.",quest,Poverty,Journey,Agent,"[' give money to poor', ' give to poor', ' give money to charity']","[' poor', ' needy', ' helpful']","[' give to poor', ' get a job', ' get a raise']","[' make a difference', ' get a job', ' get a raise']"
845,Things must be getting a bit desperate for the powers that be if they are playing the gun control card.,card,Control of Guns,Game,Aid,"[' things to get better', ' things to get worse', ' things to go well']","[' things to get better', ' things to get worse', ' things to change']","[' things to get worse', ' things to get better', ' things to go well']","[' gun control', ' things to get better', ' things to get worse']"
846,"Then wealth recedes and feelgood evaporates and the Fed has to get back to ""supporting"".",recedes,Wealth,Backward Movement,Change,"[' have less money', ' none', ' have less money to spend']","[' feel good', ' feel good about themselves', ' happy']","[' get a job', ' get a loan', ' money becomes scarce']","[' have less money', ' have less money to spend', ' have less money to buy things']"
847,We have been fighting the gun control battle for 80 years.,battle,Control of Guns,Struggle/War,Conflict,"[' we have to get rid of the gun', ' none', ' we have to get rid of it']","[' we need to get rid of the gun', ' we need to get rid of guns', ' we need to get rid of the guns']","[' gun control', ' we are fighting a war', ' we are fighting for our lives']","[' fight for gun control', ' get a gun', ' fight for gun rights']"
848,Create gobs and mountains of money immediately when you know exactly how!,mountains,Wealth,Hazardous Geographic Feature,Level,"[' buy a house', ' buy a new house', ' buy a new car']","[' create wealth', ' make money', ' create a business']","[' buy a house', ' buy a new house', ' buy a new car']","[' buy a house', ' buy a new house', ' buy a new car']"
849,It's a damn shame that Jeb Bush and his concubine Katherine Harris stole the election from Al Gore.,stole,Elections,Theft,Crime,"[' none', ' get a new job', ' get a new wife']","[' cheated', ' angry', ' immoral']","["" it's a shame"", "" it's a crime"", "" it's a bad thing""]","[' none', "" it's a shame"", "" it's a crime""]"
850,Poverty wins every game.,wins,Poverty,Game,Winner,"[' none', ' win the game', ' win or lose']","[' poor people are not allowed to play in the game.', ' poor people are not allowed to play in the game', ' poor people are not allowed to play in the game of life']","[' poor', ' none', ' poor people']","[' win or lose', ' win the game', ' none']"
851,"Democracy is not a god, democracy is a vehicle, a system, a possibility, and just like any structure, it has its dark side too, as we say in Arabic: ""adimoukratiyya laha anyab"", in this case, it becomes a god that devours his children !",god,Democracy,A God,God,"[' none', ' the children to be killed', ' the children to be eaten']","[' evil', ' religious', ' immoral']","[' none', ' children', ' evil']","[' none', ' is not a god', ' the children to be killed']"
852,He finds that providing readers with a corrective information to dispel an Obamacare myth can actually strengthen belief in death panels.,myth,Bureaucracy,A God,God,"[' he is asked to write a book about it', ' he is asked to write a book on the subject', ' he is asked to write a book about it.']","["" he finds out it's a bad idea"", "" he finds out it's a lie"", "" he finds out it's a bad idea.""]","[' he finds out that it is a bad idea to tell people about the death panels.', ' he finds out that it is a bad idea to tell people about the death panels', ' he finds out that it is a bad idea to tell people about it.']","[' he writes a book about it', ' he writes a book on the subject', ' he writes a book on it']"
853,"Our position is (that) President Yanukovych needs to lead his country into a new future, and he needs to do so through the vehicle of a new government, change to the constitution and the political order.",vehicle,Government,Machine/Vehicle,Vehicle,"[' our country is in need of a new government', ' our country is in need of a new leader', ' our country is in need of a new leader.']","[' our position is that the country needs a new leader.', ' our position is that the country needs a new government.', ' our position is that the country needs a new leader']","[' our position is that the country needs a new leader.', ' our position is that the country needs a new government.', ' our position is that the country needs a new leader']","[' our country is in need of a new government', ' our country is in need of a new leader', ' our country is in need of a new leader.']"
854,"As if the corrupt ponzi scheme, SocialistSecurity weren't an obvious enough failure in American central planning, the government is now pushing to confiscate your 401Ks by mandating a 5% payroll tax to be redistributed to the general populationâ€_ well, in the end, the ""general population"" will get the scraps after government bureaucracy steals and destroys most of it.",steals,Bureaucracy,Theft,Criminal,"[' get rich', ' get a new job', ' get a raise']","[' as a weapon against the poor', ' as a weapon against the people', ' as a weapon against the poor.']","[' get rich', ' collect taxes', ' as a tax']","[' get rich', ' get a raise', ' none']"
855,These lawsuits drain the resources of the federal agencies and rob the taxpayer at the same time.,rob,Taxation,Theft,Victim,"[' have to pay for it', ' have to pay for the lawsuit', ' have to pay for the legal fees']","[' bad for the environment', ' bad for the country', ' bad for the economy']","[' have to pay for it', ' have to pay for the lawsuit', ' have less money']","[' have to pay for it', ' have to pay for the lawsuit', ' have to pay for the legal fees']"
856,"He will change his story as it becomes necessary, as with the weapons of mass destruction, toppling a dictator, bringing democracy to the area, ad infinitum.",bringing,Democracy,Movement,Built,"[' he has to change his story', ' he has to change his story.', ' he has to change his mind']","[' powerful', ' convincing', ' manipulative']","[' he is a liar', ' he is a good person', ' he is a good leader']","[' he has to change his story', ' he gets a new job', ' he has to change his story.']"
857,Chicagoland Whet Moser: A modest proposal for selling special elections.,selling,Elections,Resource,Product,"[' none', ' get rich', ' get money']","[' successful', ' good', ' hopeful']","[' they get a lot of people to vote for them', ' they get a lot of people to vote for them.', ' they get a lot of people to vote for their candidate']","[' none', ' get money', ' get money from']"
858,Protect the guns?,Protect,Guns,Protection,Protection,"[' none', ' protect themselves', ' protect the country']","[' protect the environment', ' protect the people', ' protect the country']","[' protect the environment', ' protect the people', ' protect people']","[' protect the environment', ' protect the country', ' protect people']"
859,"Election protection is, unfortunately, a necessary aspect of voting because in 2008, U.S. voters are still faced with a number of impediments to casting their ballots for candidates:",protection,Elections,Protection,Protection,"[' none', ' vote', ' get arrested']","[' get a new job', ' vote for candidate', ' vote for the candidate']","[' vote for the candidate', ' vote for candidate', ' have to vote again']","[' get a new job', ' none', ' vote for candidate']"
860,"That brain freeze moment was widely regarded as the death of Perry's campaign for the presidency, yet his ad people are turning it around and trying to paint it as a positive.",death,Elections,Life Stage,Threatened,"[' none', ' get cold', ' get a cold']","[' cold', ' happy', ' bad']","[' get a new job', ' have a good time', ' none']","[' none', ' get a new job', ' they get a new job']"
861,The have legitimate members who have been fighting for gun rights across the nation.,fighting,Gun Rights,Struggle,Side,"[' have a good reputation', ' the gun rights to be protected', ' the gun rights movement to be successful']","[' the gun rights movement', ' the gun rights are protected', ' the gun rights movement to succeed']","[' the gun rights movement', ' the people to be safe', ' the gun rights movement to succeed']","[' have a good reputation', ' the gun rights movement', ' the people to be safe']"
862,A vote for either R or D where they both support the same system of taxation.,system,Taxation,Machine,Built,"[' vote for one or the other', ' vote for one party or the other', ' vote for one party or another']","[' a choice between two options', ' a choice between two parties', ' a compromise between two parties']","[' a choice between two options', ' a choice between the two', ' a choice between two parties']","[' vote for one party or the other', ' vote for one party or another', ' vote for one party or the other.']"
863,Strongly Opposes topic 14:The Patriot Act harms civil liberties (-5 points on Social scale),harms,Democracy,Physical Harm,Threatened,"[' none', ' gets yelled at by other people', ' gets yelled at by others']","[' Strongly opposed to the bill', ' Strongly opposed to the law.', ' Strongly opposed to the bill.']","[' none', ' strong feelings', ' strong feelings about it']","[' none', ' PersonX is arrested for violating the law.', ' PersonX is arrested for breaking the law.']"
864,"It isn't the neocon fable of intravenous democracy, even if it kills the patient.",fable,Democracy,Story,Topic,"[' none', "" it's not a good idea"", ' it is not a good idea']","["" it doesn't make sense"", "" it doesn't make any sense"", "" it's not a good idea""]","["" it's not a good idea to kill someone"", "" it's not a good idea to kill people"", "" it's not a good idea to kill the patient""]","["" it's not a good idea to kill someone"", "" it's not a good idea to kill the patient"", "" it's not a good idea to kill people""]"
865,"Anytime there is a ""massacre"" as defined by the FBI of a killing of 4 or more people the press does a full out assault of guns and gun owners.",assault,Guns,War,Victim,"[' none', ' get arrested', ' have to defend themselves']","[' angry', ' violent', ' murderous']","[' any time there is a mass murder', ' anytime there is a mass murder', ' any time there is a mass murder.']","[' none', ' get a restraining order', ' get arrested']"
